crisno,year,crisname,statea,namea,actnuma,stateb,nameb,actnumb,trgyrdy,trgmody,trgdady,trmyrdy,trmmody,trmdady,ongoing,crdynum
22,1921,AUSTRIAN SEPARATISTS,305,AUS,49,325,ITA,9999,1921,5,12,1921,6,21,0,38
22,1921,AUSTRIAN SEPARATISTS,305,AUS,49,345,YUG,48,1921,5,11,1921,6,21,0,39
23,1921,ALBANIAN FRONTIER,339,ALB,50,345,YUG,51,1921,7,7,1921,11,18,0,40
24,1921,BURGENLAND DISPUTE,305,AUS,53,310,HUN,52,1921,8,28,1921,12,28,0,41
25,1922,GREECE/TURKEY III,350,GRC,54,640,TUR,9999,1922,8,26,1922,9,15,0,42
26,1922,CHANAK,200,UNK,56,640,TUR,55,1922,9,23,1922,10,11,0,43
27,1923,RUHR I,211,BEL,9999,255,GER,58,1923,2,28,1923,9,27,0,44
27,1923,RUHR I,220,FRN,9999,255,GER,58,1923,2,28,1923,9,27,0,45
27,1923,RUHR I,290,POL,57,365,USR,9999,1923,1,22,1923,7,31,0,46
28,1923,CORFU INCIDENT,325,ITA,9999,350,GRC,60,1923,8,31,1923,9,29,0,47
30,1924,RUHR II,220,FRN,64,255,GER,63,1924,4,29,1924,8,16,0,48
31,1924,MOSUL LAND DISPUTE,200,UNK,66,640,TUR,65,1924,9,29,1924,11,15,0,49
32,1925,BULGARIA/GREECE FRONT,350,GRC,67,355,BUL,68,1925,10,19,1925,12,15,0,50
33,1926,NICARAGUA CIVIL WAR I,70,MEX,9999,93,NIC,69,1926,8,17,1927,5,15,0,51
33,1927,NICARAGUA CIVIL WAR I,70,MEX,9999,93,NIC,69,1926,8,17,1927,5,15,1,51
34,1927,HEGEMONY OVER ALBANIA,325,ITA,72,345,YUG,70,1926,11,28,1927,11,11,0,52
34,1927,HEGEMONY OVER ALBANIA,339,ALB,71,345,YUG,70,1926,11,28,1927,3,23,0,53
35,1927,SHANTUNG,710,CNA,73,740,JAP,74,1927,5,28,1929,3,28,0,54
35,1928,SHANTUNG,710,CNA,73,740,JAP,74,1927,5,28,1929,3,28,1,54
35,1929,SHANTUNG,710,CNA,73,740,JAP,74,1927,5,28,1929,3,28,1,54
36,1927,VILNA II,290,POL,76,368,LIT,75,1927,10,15,1927,12,10,0,55
37,1928,CHACO I,145,BOL,77,150,PAR,78,1928,12,5,1929,9,12,0,56
37,1929,CHACO I,145,BOL,77,150,PAR,78,1928,12,5,1929,9,12,1,56
38,1929,CHINESE E. RAILWAY,365,USR,79,710,CNA,80,1929,7,10,1929,12,22,0,57
39,1931,MUKDEN INCIDENT,710,CNA,81,740,JAP,82,1931,9,18,1932,2,18,0,58
39,1932,MUKDEN INCIDENT,710,CNA,81,740,JAP,82,1931,9,18,1932,2,18,1,58
40,1932,SHANGHAI,710,CNA,83,740,JAP,84,1932,1,24,1932,5,5,0,59
41,1932,CHACO II,145,BOL,86,150,PAR,85,1932,6,18,1935,6,12,0,60
41,1933,CHACO II,145,BOL,86,150,PAR,85,1932,6,18,1935,6,12,1,60
41,1934,CHACO II,145,BOL,86,150,PAR,85,1932,6,18,1935,6,12,1,60
41,1935,CHACO II,145,BOL,86,150,PAR,85,1932,6,18,1935,6,12,1,60
42,1932,LETICIA,100,COL,87,135,PER,88,1932,9,8,1933,5,25,0,61
42,1933,LETICIA,100,COL,87,135,PER,88,1932,9,8,1933,5,25,1,61
43,1933,JEHOL CAMPAIGN,710,CAN,89,740,JAP,9999,1933,2,23,1933,5,31,0,62
44,1934,SAUDI/YEMEN WAR,670,SAU,90,678,YEM,91,1933,12,18,1934,5,20,0,63
45,1934,AUSTRIA PUTSCH,255,GER,9999,305,AUS,92,1934,7,25,1934,7,31,0,64
45,1934,AUSTRIA PUTSCH,255,GER,9999,325,ITA,94,1934,7,25,1934,7,31,0,65
45,1934,AUSTRIA PUTSCH,325,ITA,94,345,YUG,95,1934,7,25,1934,7,31,0,66
46,1934,ASSASSN KING ALEXANDR,310,HUN,97,345,YUG,96,1934,10,8,1934,12,10,0,67
47,1935,ETHIOPIAN WAR,200,UNK,99,325,ITA,101,1935,8,31,1936,3,3,0,68
47,1936,ETHIOPIAN WAR,200,UNK,99,325,ITA,101,1935,8,31,1936,3,3,1,68
47,1935,ETHIOPIAN WAR,325,ITA,101,530,ETH,98,1934,12,6,1936,3,3,0,69
47,1936,ETHIOPIAN WAR,325,ITA,101,530,ETH,98,1934,12,6,1936,3,3,1,69
48,1935,BULGARIA/TURKEY,355,BUL,102,640,TUR,103,1935,3,6,1935,3,10,0,70
48,1935,BULGARIA/TURKEY,355,BUL,104,640,TUR,9999,1935,8,3,1935,8,31,0,71
49,1935,KAUNAS TRIALS,255,GER,9999,368,LIT,105,1935,3,28,1935,9,25,0,72
50,1935,ECUADOR/PERU BDR I,130,ECU,107,135,PER,106,1935,11,1,1935,11,30,0,73
51,1936,REMILIT-RHINELAND,200,UNK,114,255,GER,9999,1936,3,7,1936,4,16,0,74
51,1936,REMILIT-RHINELAND,211,BEL,108,255,GER,9999,1936,3,7,1936,3,23,0,75
51,1936,REMILIT-RHINELAND,220,FRN,113,255,GER,9999,1936,3,7,1936,4,16,0,76
51,1936,REMILIT-RHINELAND,255,GER,9999,290,POL,110,1936,3,7,1936,3,23,0,77
51,1936,REMILIT-RHINELAND,255,GER,9999,315,CZE,109,1936,3,7,1936,3,23,0,78
51,1936,REMILIT-RHINELAND,255,GER,9999,345,YUG,112,1936,3,7,1936,3,23,0,79
51,1936,REMILIT-RHINELAND,255,GER,9999,360,RUM,111,1936,3,7,1936,3,23,0,80
53,1937,ALEXANDRETTA,220,FRN,117,640,TUR,116,1936,9,9,1939,6,23,0,81
53,1938,ALEXANDRETTA,220,FRN,117,640,TUR,116,1936,9,9,1939,6,23,1,81
53,1939,ALEXANDRETTA,220,FRN,117,640,TUR,116,1936,9,9,1939,6,23,1,81
54,1937,SPANISH CIVIL WAR II,230,SPN,120,255,GER,119,1937,5,26,1937,5,31,0,82
54,1937,SPANISH CIVIL WAR II,230,SPN,120,325,ITA,118,1937,5,24,1937,5,31,0,83
55,1937,AMUR RIVER INCIDENT,365,USR,122,740,JAP,121,1937,6,22,1937,7,4,0,84
56,1937,MARCO POLO BRIDGE,710,CNA,123,740,JAP,124,1937,7,8,1937,12,13,0,85
57,1937,POSTAGE STAMP CRISIS,91,HON,125,93,NIC,126,1937,8,20,1937,12,10,0,86
58,1937,DOM. REP./HAITI I,41,HAI,127,42,DOM,9999,1937,10,5,1938,1,31,0,87
58,1938,DOM. REP./HAITI I,41,HAI,127,42,DOM,9999,1937,10,5,1938,1,31,1,87
59,1937,PANAY INCIDENT,2,USA,128,740,JAP,9999,1937,12,12,1937,12,26,0,88
60,1938,ANSCHLUSS,255,GER,130,305,AUS,129,1938,2,12,1938,3,14,0,89
61,1938,POLISH ULTIMATUM,290,POL,9999,368,LIT,131,1938,3,13,1938,3,19,0,90
62,1938,CZECH. MAY CRISIS,200,UNK,134,255,GER,135,1938,5,19,1938,5,23,0,91
62,1938,CZECH. MAY CRISIS,220,FRN,133,255,GER,135,1938,5,19,1938,5,23,0,92
62,1938,CZECH. MAY CRISIS,255,GER,135,315,CZE,132,1938,5,19,1938,5,23,0,93
63,1938,CHANGKUFENG,365,USR,137,740,JAP,136,1938,7,13,1938,8,11,0,94
64,1938,MUNICH,200,UNK,140,255,GER,9999,1938,9,12,1938,9,30,0,95
64,1938,MUNICH,220,FRN,139,255,GER,9999,1938,9,12,1938,9,30,0,96
64,1938,MUNICH,255,GER,9999,315,CZE,138,1938,9,7,1938,9,30,0,97
65,1938,SPANISH CIVIL WAR III,230,SPN,142,255,GER,9999,1938,10,30,1938,11,18,0,98
65,1938,SPANISH CIVIL WAR III,230,SPN,142,325,ITA,9999,1938,10,30,1938,11,18,0,99
66,1938,ITALY THREAT/FRANCE,220,FRN,143,325,ITA,9999,1938,11,30,1939,3,31,0,100
66,1939,ITALY THREAT/FRANCE,220,FRN,143,325,ITA,9999,1938,11,30,1939,3,31,1,100
67,1938,SPANISH CIVIL WAR IV,230,SPN,144,255,GER,9999,1938,12,23,1939,3,31,0,101
67,1939,SPANISH CIVIL WAR IV,230,SPN,144,255,GER,9999,1938,12,23,1939,3,31,1,101
67,1938,SPANISH CIVIL WAR IV,230,SPN,144,325,ITA,9999,1938,12,23,1939,3,31,0,102
67,1939,SPANISH CIVIL WAR IV,230,SPN,144,325,ITA,9999,1938,12,23,1939,3,31,1,102
68,1939,CZECH. ANNEXATION,255,GER,9999,315,CZE,145,1939,3,14,1939,3,15,0,103
69,1939,MEMEL,255,GER,9999,368,LIT,146,1939,3,15,1939,3,22,0,104
70,1939,DANZIG,255,GER,9999,290,POL,147,1939,3,21,1939,4,6,0,105
71,1939,INVASION OF ALBANIA,200,UNK,151,325,ITA,9999,1939,4,7,1939,4,13,0,106
71,1939,INVASION OF ALBANIA,220,FRN,149,325,ITA,9999,1939,4,7,1939,4,13,0,107
71,1939,INVASION OF ALBANIA,325,ITA,9999,339,ALB,148,1939,3,25,1939,4,8,0,108
71,1939,INVASION OF ALBANIA,325,ITA,9999,350,GRC,150,1939,4,7,1939,4,13,0,109
72,1939,NOMONHAN,365,USR,152,740,JAP,153,1939,5,28,1939,9,15,0,110
72,1939,NOMONHAN,712,MON,9999,740,JAP,153,1939,6,18,1939,9,15,0,111
73,1939,TIENTSIN,200,UNK,154,740,JAP,9999,1939,6,14,1939,8,29,0,112
74,1939,ENTRY WWII,20,CAN,173,255,GER,9999,1939,8,22,1939,9,10,0,113
74,1939,ENTRY WWII,200,UNK,157,255,GER,9999,1939,8,21,1939,9,3,0,114
74,1939,ENTRY WWII,200,UNK,157,365,USR,158,1939,8,21,1939,9,3,0,115
74,1939,ENTRY WWII,210,NTH,171,255,GER,9999,1939,8,22,1939,9,3,0,116
74,1939,ENTRY WWII,211,BEL,169,255,GER,9999,1939,8,22,1939,9,3,0,117
74,1939,ENTRY WWII,212,LUX,159,255,GER,9999,1939,8,22,1939,8,31,0,118
74,1939,ENTRY WWII,220,FRN,170,255,GER,9999,1939,8,22,1939,9,3,0,119
74,1939,ENTRY WWII,220,FRN,170,365,USR,158,1939,8,21,1939,9,3,0,120
74,1939,ENTRY WWII,225,SWZ,160,255,GER,9999,1939,8,22,1939,8,31,0,121
74,1939,ENTRY WWII,255,GER,9999,290,POL,174,1939,8,22,1939,9,17,0,122
74,1939,ENTRY WWII,255,GER,9999,360,ROM,165,1939,8,22,1939,9,1,0,123
74,1939,ENTRY WWII,255,GER,9999,365,USR,158,1939,8,21,1939,9,28,0,124
74,1939,ENTRY WWII,255,GER,9999,366,EST,162,1939,8,22,1939,9,1,0,125
74,1939,ENTRY WWII,255,GER,9999,367,LAT,155,1939,8,20,1939,9,1,0,126
74,1939,ENTRY WWII,255,GER,9999,368,LIT,167,1939,8,22,1939,9,2,0,127
74,1939,ENTRY WWII,255,GER,9999,375,FIN,163,1939,8,22,1939,9,1,0,128
74,1939,ENTRY WWII,255,GER,9999,380,SWD,166,1939,8,22,1939,9,1,0,129
74,1939,ENTRY WWII,255,GER,9999,385,NOR,164,1939,8,22,1939,9,1,0,130
74,1939,ENTRY WWII,255,GER,9999,390,DEN,161,1939,8,22,1939,9,1,0,131
74,1939,ENTRY WWII,255,GER,9999,560,SAF,175,1939,9,1,1939,9,6,0,132
74,1939,ENTRY WWII,255,GER,9999,900,AUL,168,1939,8,22,1939,9,3,0,133
74,1939,ENTRY WWII,255,GER,9999,920,NEW,172,1939,8,22,1939,9,3,0,134
74,1939,ENTRY WWII,290,POL,174,365,USR,158,1939,8,21,1939,9,17,0,135
74,1939,ENTRY WWII,360,ROM,165,365,USR,158,1939,8,21,1939,9,1,0,136
74,1939,ENTRY WWII,365,USR,158,366,EST,162,1939,8,21,1939,9,1,0,137
74,1939,ENTRY WWII,365,USR,158,367,LAT,155,1939,8,20,1939,9,1,0,138
74,1939,ENTRY WWII,365,USR,158,368,LIT,167,1939,8,21,1939,9,2,0,139
74,1939,ENTRY WWII,365,USR,158,375,FIN,163,1939,8,21,1939,9,1,0,140
74,1939,ENTRY WWII,365,USR,158,740,JAP,156,1939,8,21,1939,8,28,0,141
75,1939,SOVIET OCCUP BALTIC,365,USR,9999,366,EST,176,1939,9,26,1939,9,28,0,142
75,1939,SOVIET OCCUP BALTIC,365,USR,9999,367,LAT,177,1939,10,3,1939,10,5,0,143
75,1939,SOVIET OCCUP BALTIC,365,USR,9999,368,LIT,178,1939,10,3,1939,10,10,0,144
76,1939,FINNISH WAR,365,USR,9999,375,FIN,179,1939,10,6,1940,3,13,0,145
76,1940,FINNISH WAR,365,USR,9999,375,FIN,179,1939,10,6,1940,3,13,1,145
76,1940,FINNISH WAR,200,UNK,182,365,USR,9999,1940,1,14,1940,3,13,0,146
76,1940,FINNISH WAR,220,FRN,181,365,USR,9999,1940,1,14,1940,3,13,0,147
77,1940,INVAS.-SCANDINAVIA,200,UNK,187,255,GER,9999,1940,4,9,1940,6,8,0,148
77,1940,INVAS.-SCANDINAVIA,210,NTH,185,255,GER,9999,1940,4,9,1940,4,27,0,149
77,1940,INVAS.-SCANDINAVIA,220,FRN,186,255,GER,9999,1940,4,9,1940,6,8,0,150
77,1940,INVAS.-SCANDINAVIA,255,GER,9999,385,NOR,183,1940,4,8,1940,6,10,0,151
77,1940,INVAS.-SCANDINAVIA,255,GER,9999,390,DEN,184,1940,4,9,1940,4,9,0,152
78,1940,FALL OF WEST EUROPE,200,UNK,191,255,GER,9999,1940,5,10,1940,6,17,0,153
78,1940,FALL OF WEST EUROPE,200,UNK,191,325,ITA,9999,1940,5,10,1940,6,17,0,154
78,1940,FALL OF WEST EUROPE,210,NTH,189,255,GER,9999,1940,5,10,1940,5,15,0,155
78,1940,FALL OF WEST EUROPE,211,BEL,190,255,GER,9999,1940,5,10,1940,5,28,0,156
78,1940,FALL OF WEST EUROPE,212,LUX,188,255,GER,9999,1940,5,10,1940,5,10,0,157
78,1940,FALL OF WEST EUROPE,220,FRN,192,255,GER,9999,1940,5,10,1940,6,22,0,158
78,1940,FALL OF WEST EUROPE,220,FRN,192,325,ITA,9999,1940,5,10,1940,6,22,0,159
79,1940,CLOSURE/BURMA ROAD,200,UNK,193,740,JAP,9999,1940,6,24,1940,7,14,0,160
80,1940,ROMANIAN TERRITORY,310,HUN,9999,360,RUM,195,1940,7,1,1940,8,30,0,161
80,1940,ROMANIAN TERRITORY,355,BUL,9999,360,RUM,196,1940,7,31,1940,9,7,0,162
80,1940,ROMANIAN TERRITORY,360,RUM,194,365,USR,9999,1940,6,26,1940,7,2,0,163
81,1940,BATTLE OF BRITAIN,200,UNK,197,255,GER,9999,1940,7,10,1940,9,15,0,164
82,1941,E. AFRICA CAMPAIGN,200,UNK,198,325,ITA,199,1940,8,19,1941,5,17,0,165
82,1941,E. AFRICA CAMPAIGN,325,ITA,199,530,ETH,9999,1941,3,27,1941,5,17,0,166
82,1941,E. AFRICA CAMPAIGN,325,ITA,199,560,SAF,9999,1941,3,27,1941,5,17,0,167
83,1940,BALKAN INVASION,200,UNK,202,325,ITA,204,1940,10,28,1940,11,22,0,168
83,1940,BALKAN INVASION,255,GER,205,900,AUL,9999,1940,11,21,1941,6,1,0,169
83,1941,BALKAN INVASION,255,GER,205,900,AUL,9999,1940,11,21,1941,6,1,1,169
83,1940,BALKAN INVASION,255,GER,205,920,NEW,9999,1940,11,21,1941,6,1,0,170
83,1941,BALKAN INVASION,255,GER,205,920,NEW,9999,1940,11,21,1941,6,1,1,170
83,1940,BALKAN INVASION,325,ITA,204,345,YUG,201,1940,10,28,1940,11,21,0,171
83,1940,BALKAN INVASION,325,ITA,204,350,GRC,200,1940,10,28,1940,11,21,0,172
83,1940,BALKAN INVASION,325,ITA,204,640,TUR,203,1940,10,28,1941,2,17,0,173
83,1941,BALKAN INVASION,325,ITA,204,640,TUR,203,1940,10,28,1941,2,17,1,173
83,1940,BALKAN INVASION,325,ITA,204,900,AUL,9999,1940,11,21,1941,4,23,0,174
83,1941,BALKAN INVASION,325,ITA,204,900,AUL,9999,1940,11,21,1941,4,23,1,174
83,1940,BALKAN INVASION,325,ITA,204,920,NEW,9999,1940,11,21,1941,4,23,0,175
83,1941,BALKAN INVASION,325,ITA,204,920,NEW,9999,1940,11,21,1941,4,23,1,175
83,1940,BALKAN INVASION,355,BUL,9999,640,TUR,203,1940,10,28,1941,2,17,0,176
83,1941,BALKAN INVASION,355,BUL,9999,640,TUR,203,1940,10,28,1941,2,17,1,176
83,1941,BALKAN INVASION,200,UNK,208,255,GER,205,1940,11,21,1941,6,1,0,177
83,1941,BALKAN INVASION,255,GER,205,345,YUG,206,1940,11,21,1941,4,17,0,178
83,1941,BALKAN INVASION,255,GER,205,350,GRC,207,1940,11,21,1941,4,23,0,179
83,1941,BALKAN INVASION,310,HUN,9999,345,YUG,206,1941,3,4,1941,4,17,0,180
83,1941,BALKAN INVASION,310,HUN,9999,350,GRC,207,1941,4,6,1941,4,23,0,181
83,1941,BALKAN INVASION,325,ITA,204,345,YUG,206,1940,11,21,1941,4,17,0,182
83,1941,BALKAN INVASION,325,ITA,204,350,GRC,207,1940,11,21,1941,4,23,0,183
83,1941,BALKAN INVASION,345,YUG,206,355,BUL,9999,1941,3,4,1941,4,17,0,184
83,1941,BALKAN INVASION,350,GRC,207,355,BUL,9999,1941,4,6,1941,4,23,0,185
84,1941,MID-EAST CAMPAIGN,200,UNK,210,255,GER,211,1941,4,29,1941,6,6,0,186
84,1941,MID-EAST CAMPAIGN,200,UNK,210,645,IRQ,209,1941,4,29,1941,5,30,0,187
85,1941,BARBAROSSA,255,GER,9999,365,USR,213,1941,6,22,1941,12,5,0,188
85,1941,BARBAROSSA,355,BUL,9999,365,USR,213,1941,6,22,1941,12,5,0,189
85,1941,BARBAROSSA,360,RUM,9999,365,USR,213,1941,6,22,1941,12,5,0,190
85,1941,BARBAROSSA,365,USR,213,375,FIN,9999,1941,6,22,1941,12,5,0,191
86,1941,ECUADOR/PERU BDR II,130,ECU,215,135,PER,216,1941,7,5,1942,1,29,0,192
86,1942,ECUADOR/PERU BDR II,130,ECU,215,135,PER,216,1941,7,5,1942,1,29,1,192
87,1941,OCCUPATION OF IRAN,200,UNK,9999,630,IRN,217,1941,8,25,1942,1,29,0,193
87,1942,OCCUPATION OF IRAN,200,UNK,9999,630,IRN,217,1941,8,25,1942,1,29,1,193
87,1941,OCCUPATION OF IRAN,365,USR,9999,630,IRN,217,1941,8,25,1942,1,29,0,194
87,1942,OCCUPATION OF IRAN,365,USR,9999,630,IRN,217,1941,8,25,1942,1,29,1,194
88,1941,PEARL HARBOR,2,USA,224,255,GER,226,1941,12,7,1942,2,15,0,195
88,1942,PEARL HARBOR,2,USA,224,255,GER,226,1941,12,7,1942,2,15,1,195
88,1941,PEARL HARBOR,2,USA,224,310,HUN,9999,1941,12,7,1942,6,7,0,196
88,1942,PEARL HARBOR,2,USA,224,310,HUN,9999,1941,12,7,1942,6,7,1,196
88,1941,PEARL HARBOR,2,USA,224,325,ITA,227,1941,12,7,1942,2,15,0,197
88,1942,PEARL HARBOR,2,USA,224,325,ITA,227,1941,12,7,1942,2,15,1,197
88,1941,PEARL HARBOR,2,USA,224,355,BUL,9999,1941,12,7,1942,6,7,0,198
88,1942,PEARL HARBOR,2,USA,224,355,BUL,9999,1941,12,7,1942,6,7,1,198
88,1941,PEARL HARBOR,2,USA,224,360,RUM,9999,1941,12,7,1942,6,7,0,199
88,1942,PEARL HARBOR,2,USA,224,360,RUM,9999,1941,12,7,1942,6,7,1,199
88,1941,PEARL HARBOR,2,USA,224,740,JAP,218,1941,11,26,1942,2,15,0,200
88,1942,PEARL HARBOR,2,USA,224,740,JAP,218,1941,11,26,1942,2,15,1,200
88,1941,PEARL HARBOR,20,CAN,223,255,GER,226,1941,12,7,1942,2,15,0,201
88,1942,PEARL HARBOR,20,CAN,223,255,GER,226,1941,12,7,1942,2,15,1,201
88,1941,PEARL HARBOR,20,CAN,223,325,ITA,227,1941,12,7,1942,2,15,0,202
88,1942,PEARL HARBOR,20,CAN,223,325,ITA,227,1941,12,7,1942,2,15,1,202
88,1941,PEARL HARBOR,20,CAN,223,355,BUL,9999,1941,12,7,1942,6,7,0,203
88,1942,PEARL HARBOR,20,CAN,223,355,BUL,9999,1941,12,7,1942,6,7,1,203
88,1941,PEARL HARBOR,20,CAN,223,740,JAP,218,1941,11,26,1942,2,15,0,204
88,1942,PEARL HARBOR,20,CAN,223,740,JAP,218,1941,11,26,1942,2,15,1,204
88,1941,PEARL HARBOR,40,CUB,9999,255,GER,226,1941,12,8,1942,2,15,0,205
88,1942,PEARL HARBOR,40,CUB,9999,255,GER,226,1941,12,8,1942,2,15,1,205
88,1941,PEARL HARBOR,40,CUB,9999,325,ITA,227,1941,12,8,1942,2,15,0,206
88,1942,PEARL HARBOR,40,CUB,9999,325,ITA,227,1941,12,8,1942,2,15,1,206
88,1941,PEARL HARBOR,40,CUB,9999,740,JAP,218,1941,11,26,1942,2,15,0,207
88,1942,PEARL HARBOR,40,CUB,9999,740,JAP,218,1941,11,26,1942,2,15,1,207
88,1941,PEARL HARBOR,41,HAI,9999,255,GER,226,1941,12,8,1942,2,15,0,208
88,1942,PEARL HARBOR,41,HAI,9999,255,GER,226,1941,12,8,1942,2,15,1,208
88,1941,PEARL HARBOR,41,HAI,9999,325,ITA,227,1941,12,8,1942,2,15,0,209
88,1942,PEARL HARBOR,41,HAI,9999,325,ITA,227,1941,12,8,1942,2,15,1,209
88,1941,PEARL HARBOR,41,HAI,9999,740,JAP,218,1941,11,26,1942,2,15,0,210
88,1942,PEARL HARBOR,41,HAI,9999,740,JAP,218,1941,11,26,1942,2,15,1,210
88,1941,PEARL HARBOR,42,DOM,9999,255,GER,226,1941,12,8,1942,2,15,0,211
88,1942,PEARL HARBOR,42,DOM,9999,255,GER,226,1941,12,8,1942,2,15,1,211
