CRISNO	YEAR	CRISNAME	STATEA	NAMEA	ACTNUMA	STATEB	NAMEB	ACTNUMB	ONESIDE	COWMEMA	COWMEMB	GWMEMA	GWMEMB	IWCA	IWCB	YRTRIGA	MOTRIGA	DATRIGA	YRTERMA	MOTERMA	DATERMA	YRTRIGB	MOTRIGB	DATRIGB	YRTERMB	MOTERMB	DATERMB	TRGYRDY	TRGMODY	TRGDADY	TRMYRDY	TRMMODY	TRMDADY	DURDAYS	DURYEAR	ONGOING	CRDYNUM
38	1929	CHINESE E. RAILWAY      	365	USR  	79	710	CNA  	80	0	0	0	0	0	1	1	1929	7	10	1929	12	22	1929	7	13	1929	12	22	1929	7	13	1929	12	22	162	1	0	57
39	1931	MUKDEN INCIDENT         	710	CNA  	81	740	JAP  	82	0	0	0	0	0	1	1	1931	9	18	1932	2	18	1931	9	18	1932	2	18	1931	9	18	1932	2	18	153	2	0	58
39	1932	MUKDEN INCIDENT         	710	CNA  	81	740	JAP  	82	0	0	0	0	0	1	1	1931	9	18	1932	2	18	1931	9	18	1932	2	18	1931	9	18	1932	2	18	153	2	1	58
40	1932	SHANGHAI                	710	CNA  	83	740	JAP  	84	0	0	0	0	0	7	7	1932	1	24	1932	5	5	1932	1	29	1932	5	5	1932	1	29	1932	5	5	97	1	0	59
41	1932	CHACO II                	145	BOL  	86	150	PAR  	85	0	0	0	0	0	1	1	1932	7	18	1935	6	12	1932	6	18	1935	6	12	1932	7	18	1935	6	12	1059	4	0	60
41	1933	CHACO II                	145	BOL  	86	150	PAR  	85	0	0	0	0	0	1	1	1932	7	18	1935	6	12	1932	6	18	1935	6	12	1932	7	18	1935	6	12	1059	4	1	60
41	1934	CHACO II                	145	BOL  	86	150	PAR  	85	0	0	0	0	0	1	1	1932	7	18	1935	6	12	1932	6	18	1935	6	12	1932	7	18	1935	6	12	1059	4	1	60
41	1935	CHACO II                	145	BOL  	86	150	PAR  	85	0	0	0	0	0	1	1	1932	7	18	1935	6	12	1932	6	18	1935	6	12	1932	7	18	1935	6	12	1059	4	1	60
42	1932	LETICIA                 	100	COL  	87	135	PER  	88	0	0	0	0	0	1	1	1932	9	8	1933	5	25	1932	12	27	1933	5	25	1932	12	27	1933	5	25	149	2	0	61
42	1933	LETICIA                 	100	COL  	87	135	PER  	88	0	0	0	0	0	1	1	1932	9	8	1933	5	25	1932	12	27	1933	5	25	1932	12	27	1933	5	25	149	2	1	61
43	1933	JEHOL CAMPAIGN          	710	CAN  	89	740	JAP  	9999	2	0	0	0	0	8	-99	1933	2	23	1933	5	31	-99	-99	-99	-99	-99	-99	1933	2	23	1933	5	31	97	1	0	62
44	1934	SAUDI/YEMEN WAR         	670	SAU  	90	678	YEM  	91	0	0	0	0	0	1	1	1933	12	18	1934	5	20	1934	3	22	1934	5	20	1934	3	22	1934	5	20	59	1	0	63
45	1934	AUSTRIA PUTSCH          	255	GER  	9999	305	AUS  	92	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1934	7	25	1934	7	31	1934	7	25	1934	7	31	6	1	0	64
45	1934	AUSTRIA PUTSCH          	255	GER  	9999	325	ITA  	94	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1934	7	25	1934	7	31	1934	7	25	1934	7	31	6	1	0	65
45	1934	AUSTRIA PUTSCH          	325	ITA  	94	345	YUG  	95	0	0	0	0	0	1	1	1934	7	25	1934	7	31	1934	7	25	1934	7	31	1934	7	25	1934	7	31	6	1	0	66
46	1934	ASSASSN KING ALEXANDR   	310	HUN  	97	345	YUG  	96	0	0	0	0	0	1	1	1934	11	22	1934	12	10	1934	10	8	1934	12	10	1934	11	22	1934	12	10	18	1	0	67
47	1935	ETHIOPIAN WAR           	200	UNK  	99	325	ITA  	101	0	0	0	0	0	1	1	1935	8	31	1936	3	3	1935	11	6	1936	3	3	1935	11	6	1936	3	3	118	2	0	68
47	1936	ETHIOPIAN WAR           	200	UNK  	99	325	ITA  	101	0	0	0	0	0	1	1	1935	8	31	1936	3	3	1935	11	6	1936	3	3	1935	11	6	1936	3	3	118	2	1	68
47	1935	ETHIOPIAN WAR           	325	ITA  	101	530	ETH  	98	0	0	0	0	0	1	1	1935	11	6	1936	3	3	1934	12	6	1936	5	5	1935	11	6	1936	3	3	118	2	0	69
47	1936	ETHIOPIAN WAR           	325	ITA  	101	530	ETH  	98	0	0	0	0	0	1	1	1935	11	6	1936	3	3	1934	12	6	1936	5	5	1935	11	6	1936	3	3	118	2	1	69
48	1935	BULGARIA/TURKEY         	355	BUL  	102	640	TUR  	103	0	0	0	0	0	1	1	1935	3	6	1935	3	10	1935	3	8	1935	3	10	1935	3	8	1935	3	10	2	1	0	70
48	1935	BULGARIA/TURKEY         	355	BUL  	104	640	TUR  	9999	2	0	0	0	0	1	-99	1935	8	3	1935	8	31	-99	-99	-99	-99	-99	-99	1935	8	3	1935	8	31	28	1	0	71
49	1935	KAUNAS TRIALS           	255	GER  	9999	368	LIT  	105	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1935	3	28	1935	9	25	1935	3	28	1935	9	25	181	1	0	72
50	1935	ECUADOR/PERU BDR I      	130	ECU  	107	135	PER  	106	0	0	0	0	0	1	1	1935	11	14	1935	11	30	1935	11	1	1935	11	30	1935	11	14	1935	11	30	16	1	0	73
51	1936	REMILIT-RHINELAND       	200	UNK  	114	255	GER  	9999	2	0	0	0	0	1	-99	1936	3	7	1936	4	16	-99	-99	-99	-99	-99	-99	1936	3	7	1936	4	16	40	1	0	74
51	1936	REMILIT-RHINELAND       	211	BEL  	108	255	GER  	9999	2	0	0	0	0	1	-99	1936	3	7	1936	3	23	-99	-99	-99	-99	-99	-99	1936	3	7	1936	3	23	16	1	0	75
51	1936	REMILIT-RHINELAND       	220	FRN  	113	255	GER  	9999	2	0	0	0	0	1	-99	1936	3	7	1936	4	16	-99	-99	-99	-99	-99	-99	1936	3	7	1936	4	16	40	1	0	76
51	1936	REMILIT-RHINELAND       	255	GER  	9999	290	POL  	110	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1936	3	7	1936	3	23	1936	3	7	1936	3	23	16	1	0	77
51	1936	REMILIT-RHINELAND       	255	GER  	9999	315	CZE  	109	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1936	3	7	1936	3	23	1936	3	7	1936	3	23	16	1	0	78
51	1936	REMILIT-RHINELAND       	255	GER  	9999	345	YUG  	112	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1936	3	7	1936	3	23	1936	3	7	1936	3	23	16	1	0	79
51	1936	REMILIT-RHINELAND       	255	GER  	9999	360	RUM  	111	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1936	3	7	1936	3	23	1936	3	7	1936	3	23	16	1	0	80
53	1937	ALEXANDRETTA            	220	FRN  	117	640	TUR  	116	0	0	0	0	0	1	1	1937	1	7	1939	6	23	1936	9	9	1939	6	23	1937	1	7	1939	6	23	897	3	0	81
53	1938	ALEXANDRETTA            	220	FRN  	117	640	TUR  	116	0	0	0	0	0	1	1	1937	1	7	1939	6	23	1936	9	9	1939	6	23	1937	1	7	1939	6	23	897	3	1	81
53	1939	ALEXANDRETTA            	220	FRN  	117	640	TUR  	116	0	0	0	0	0	1	1	1937	1	7	1939	6	23	1936	9	9	1939	6	23	1937	1	7	1939	6	23	897	3	1	81
54	1937	SPANISH CIVIL WAR II    	230	SPN  	120	255	GER  	119	0	0	0	0	0	7	1	1937	5	31	1937	5	31	1937	5	26	1937	5	31	1937	5	31	1937	5	31	0	1	0	82
54	1937	SPANISH CIVIL WAR II    	230	SPN  	120	325	ITA  	118	0	0	0	0	0	7	1	1937	5	31	1937	5	31	1937	5	24	1937	5	31	1937	5	31	1937	5	31	0	1	0	83
55	1937	AMUR RIVER INCIDENT     	365	USR  	122	740	JAP  	121	0	0	0	0	0	1	1	1937	6	28	1937	7	4	1937	6	22	1937	7	4	1937	6	28	1937	7	4	6	1	0	84
56	1937	MARCO POLO BRIDGE       	710	CNA  	123	740	JAP  	124	0	0	0	0	0	1	1	1937	7	8	1937	12	13	1937	7	9	1938	1	16	1937	7	9	1937	12	13	157	1	0	85
57	1937	POSTAGE STAMP CRISIS    	91	HON  	125	93	NIC  	126	0	0	0	0	0	1	1	1937	8	20	1937	12	10	1937	8	30	1937	12	10	1937	8	30	1937	12	10	102	1	0	86
58	1937	DOM. REP./HAITI I       	41	HAI  	127	42	DOM  	9999	2	0	0	0	0	1	-99	1937	10	5	1938	1	31	-99	-99	-99	-99	-99	-99	1937	10	5	1938	1	31	118	2	0	87
58	1938	DOM. REP./HAITI I       	41	HAI  	127	42	DOM  	9999	2	0	0	0	0	1	-99	1937	10	5	1938	1	31	-99	-99	-99	-99	-99	-99	1937	10	5	1938	1	31	118	2	1	87
59	1937	PANAY INCIDENT          	2	USA  	128	740	JAP  	9999	2	0	0	0	0	1	-99	1937	12	12	1937	12	26	-99	-99	-99	-99	-99	-99	1937	12	12	1937	12	26	14	1	0	88
60	1938	ANSCHLUSS               	255	GER  	130	305	AUS  	129	0	0	2	0	0	1	1	1938	3	9	1938	3	14	1938	2	12	1938	3	14	1938	3	9	1938	3	14	5	1	0	89
61	1938	POLISH ULTIMATUM        	290	POL  	9999	368	LIT  	131	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1938	3	13	1938	3	19	1938	3	13	1938	3	19	6	1	0	90
62	1938	CZECH. MAY CRISIS       	200	UNK  	134	255	GER  	135	0	0	0	0	0	1	1	1938	5	19	1938	5	23	1938	5	20	1938	5	23	1938	5	20	1938	5	23	3	1	0	91
62	1938	CZECH. MAY CRISIS       	220	FRN  	133	255	GER  	135	0	0	0	0	0	1	1	1938	5	19	1938	5	23	1938	5	20	1938	5	23	1938	5	20	1938	5	23	3	1	0	92
62	1938	CZECH. MAY CRISIS       	255	GER  	135	315	CZE  	132	0	0	0	0	0	1	1	1938	5	20	1938	5	23	1938	5	19	1938	5	23	1938	5	20	1938	5	23	3	1	0	93
63	1938	CHANGKUFENG             	365	USR  	137	740	JAP  	136	0	0	0	0	0	1	1	1938	7	31	1938	8	11	1938	7	13	1938	8	11	1938	7	31	1938	8	11	11	1	0	94
64	1938	MUNICH                  	200	UNK  	140	255	GER  	9999	2	0	0	0	0	1	-99	1938	9	12	1938	9	30	-99	-99	-99	-99	-99	-99	1938	9	12	1938	9	30	18	1	0	95
64	1938	MUNICH                  	220	FRN  	139	255	GER  	9999	2	0	0	0	0	1	-99	1938	9	12	1938	9	30	-99	-99	-99	-99	-99	-99	1938	9	12	1938	9	30	18	1	0	96
64	1938	MUNICH                  	255	GER  	9999	315	CZE  	138	1	0	0	0	0	-99	1	-99	-99	-99	-99	-99	-99	1938	9	7	1938	9	30	1938	9	7	1938	9	30	23	1	0	97
65	1938	SPANISH CIVIL WAR III   	230	SPN  	142	255	GER  	9999	2	0	0	0	0	8	-99	1938	10	30	1938	11	18	-99	-99	-99	-99	-99	-99	1938	10	30	1938	11	18	19	1	0	98
65	1938	SPANISH CIVIL WAR III   	230	SPN  	142	325	ITA  	9999	2	0	0	0	0	8	-99	1938	10	30	1938	11	18	-99	-99	-99	-99	-99	-99	1938	10	30	1938	11	18	19	1	0	99
